adoption_year	name	slug	original_slug	has_blog_text	has_image
2023	Casper	casper-2023	casper-2023	yes	yes
2023	Titan	titan-2023	titan-2023	yes	yes
2023	Bruno Harl	bruno-harl-2023	bruno-harl-2023	yes	yes
2023	Pharaoh	pharaoh-2023	pharaoh-2023	yes	yes
2024	Bela	bela-2024	bela-2024	yes	yes
2023	Tobias	tobias-2023	tobias-2023	yes	yes
2023	Maggie	maggie-2023	maggie-2023	yes	yes
2023	Charlee	charlee-2023-2	charlee-2023	yes	yes
2023	Declan	declan-2023	declan-2023	yes	yes
2023	King	king-2023	king-2023	yes	yes
2023	Simba	simba-2023	simba-2023	yes	yes
2023	Indie	indie-2023	indie-2023	yes	yes
2023	Brady	brady-2023	brady-2023	yes	yes
2023	Rosie	rosie-2023	rosie-2023	yes	yes
2023	Blue	blue-2023	blue-2023	yes	yes
2023	Finnlee	finnlee-2023	finnlee-2023	yes	yes
2023	Blew	blew-2023	blew-2023	yes	yes
2023	Kingston	kingston-2023	kingston-2023	yes	yes
2023	Pumpkin	pumpkin-2023	pumpkin-2023	yes	yes
2024	Watson	watson-2024	watson-2024	yes	yes
2024	Malikai	malikai-2024	malikai-2024	yes	yes
2024	Athena	athena-2024	athena-2024	yes	yes
2024	Apollo	apollo-2024	apollo-2024	yes	yes
2024	Daisy	daisy-2024	daisy-2024	yes	yes
2024	Dan	dan-2024	dan-2024	yes	yes
2024	Scooby Doo	scooby-doo-2024	scooby-doo-2024	yes	yes
2024	Coffee Bean	coffee-bean-2024	coffee-bean-2024	yes	yes
2024	Maggie	maggie-2024-2	maggie-2024-2	yes	yes
2024	Lily	lily-2024	lily-2024	yes	yes
2024	Tyson	tyson-2024	tyson-2024	yes	yes
2024	Sailor	sailor-2023	sailor-2023	yes	yes
2024	Coco	coco-2024	coco-2024	yes	yes
2024	Mav and Millie	mav-millie-2024	mav-millie-2024	yes	yes
2024	Blu	blue-2024	blue-2024	yes	yes
2024	Salem	salem-2023	salem-2023	yes	yes
2024	Ella	ella-2024	ella-2024	yes	yes
2024	Cowboy	cowboy-2024	cowboy-2024	yes	yes
2024	Duke	duke-2024	duke-2024	yes	yes
2024	Stetson	stetson-2024	stetson-2024	yes	yes
2024	Blue Harl	blue-harl-2024	blue-harl-2024	yes	yes
2024	Ryven	ryven-2024	ryven-2024	yes	yes
2024	Maizy	maizy-2024	maizy-2024	yes	yes
2024	Apollo 11	apollo11-2024	apollo11-2024	yes	yes
2024	Millie	millie-2024	millie-2024	yes	yes
2024	Vader	vader-2024	vader-2024	yes	yes
2024	Ada	ada-2024	ada-2024	yes	yes
2024	Thor	thor-2024	thor-2024	yes	yes
2024	Remus	remus-2024	remus-2024	yes	yes
2024	Apollo	apollo-merle-2024	apollo-merle-2024	yes	yes
2024	Harlem	harlem-2024	harlem-2024	yes	yes
2024	Luna	luna-2024	luna-2024	yes	yes
2024	Maggie	maggie-2024	maggie-2024	yes	yes
2024	Maivis	maivis-2024	maivis-2024	yes	yes
2024	Siryn Rey	siryn-rey-2024	siryn-rey-2024	yes	yes
2024	Milo	milo-2024	milo-2024	yes	yes
2024	Oreo	oreo-2024	oreo-2024	yes	yes
2025	Sheba	sheba-2025	sheba-2025	yes	yes
2024	Niko	niko-2024	niko-2024	yes	yes
2024	Ramona	ramona-2024	ramona-2024	yes	yes
2024	Echo & Ronan	echo-ronan-2024	echo-ronan-2024	yes	yes
2024	Tyr	tyr-2024	tyr-2024	yes	yes
2024	Belle	belle-2024	belle-2024	yes	yes
2024	Dazzle	dazzle-2024	dazzle-2024	yes	yes
2024	Kumo	kumo-2024	kumo-2024	yes	yes
2024	Clementine	clementine-2024	clementine-2024	yes	yes
2024	Scout	scout-2024	scout-2024	yes	yes
2025	Roxxy	roxxy-2025	roxxy-2025	yes	yes
2025	Winston	winston-2025	winston-2025	yes	yes
2024	Huey	huey-2024	huey-2024	yes	yes
2024	Dewey	dewey-2024	dewey-2024	yes	yes
2024	Louie	louie-2024	louie-2024	yes	yes
2025	Loki	loki-2025	loki-2025	yes	yes
