# Phase C Vercel-preview results, run 2026-05-06.
# Preview: https://rmgdri-site-hanfq5ixm-ray-richardsons-projects-4591755e.vercel.app
# Branch HEAD: b257c70 (Phase B 63dafa0 + retrigger b54384c + local Phase C evidence b257c70)
# Method: Python http.client HEAD over HTTPS; -L follow up to 5 hops for 308 rows; path-revisit loop guard.
test_path	expected_status	expected_location	actual_status	actual_location	chain_depth	final_path	final_status	verdict	notes	rationale
/2022-ella-has-a-home	308	/adoption-successes/2022	308	/adoption-successes/2022	1	/adoption-successes/2022	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2022-lucy-has-a-home	308	/adoption-successes/2022	308	/adoption-successes/2022	1	/adoption-successes/2022	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2022-lucy-has-a-home-2	308	/adoption-successes/2022	308	/adoption-successes/2022	1	/adoption-successes/2022	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2023-finlee-has-a-home	308	/adoption-successes/2023	308	/adoption-successes/2023	1	/adoption-successes/2023	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2023-lucy-has-a-home	308	/adoption-successes/2023	308	/adoption-successes/2023	1	/adoption-successes/2023	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-athena-harl-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-blu-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-blue-blue-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-echo-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-korbin-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-magggie-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-malakai-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-nova-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-sailor-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-salem-has-a-home	308	/adoption-successes/2024	308	/adoption-successes/2024	1	/adoption-successes/2024	200	PASS		unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
